"ConPhylum","r.sqr","lntercept","a","RE","TempPref","GenusSpecies","ConGenus","ConFamily","ConOrder","ConClass","Superkingdom","GrowthRate","RateUnit","Optimum.Temp","TempUnit","AverageVolume","VolumeUnit","Sources","Notes","Author","Temp","arrhenius_tmp","x","y","z","E","TCorrected_GrowthRate"
"1","Actinobacteria",0.0128042529465784,-8.86046583929134,-0.0661575984184842,-0.133908688886324,"Thermophile","Rubrobacter xylanophilus","Rubrobacter","Rubrobacteraceae","Rubrobacterales","Rubrobacteria","Bacteria",5.99e-05,"s^-1",60.1472,"Celsius",1.27e-18,"m^3","https://books.google.co.uk/books?id=66UMS7A2KisC&pg=PA2006&lpg=PA2006&dq=Rubrobacter+xylanophilus+cell+volume&source=bl&ots=_8IUoOsVAb&sig=ISGSN_kQXz9eLGaLTAua_OkTDaI&hl=en&sa=X&ved=0ahUKEwij1MrJ1YrbAhUJXMAKHdoNCm84ChDoAQgvMAE#v=onepage&q=Rubrobacter%20xylanophilus%20cell%20volume&f=false","pg. 2008 of Bergey’s Manual of Systematic Bacteriology Volume 5: The Actinobacteria","Hira",333.2972,34.8065572535441,-9.72283405284287,-41.2075147734223,34.8065572535441,0.133908688886324,0.00633330155344174
"2","Actinobacteria",0.0128042529465784,-8.86046583929134,-0.0661575984184842,-0.133908688886324,"Thermophile","Rubrobacter taiwanensis","Rubrobacter","Rubrobacteraceae","Rubrobacterales","Rubrobacteria","Bacteria",6.58e-06,"s^-1",60,"Celsius",1.25e-18,"m^3","corkrey, engqvist, fierer, gold, bergeys","354, 555, 3645, 12331","Madin",333.15,34.8219362876961,-11.931475812627,-41.2233881225786,34.8219362876961,0.133908688886324,0.000697145804887872
"3","Actinobacteria",0.0128042529465784,-8.86046583929134,-0.0661575984184842,-0.133908688886324,"Thermophile","Rubrobacter radiotolerans","Rubrobacter","Rubrobacteraceae","Rubrobacterales","Rubrobacteria","Bacteria",3.14e-05,"s^-1",50.2169,"Celsius",1.62e-18,"m^3","https://books.google.co.uk/books?id=66UMS7A2KisC&pg=PA2006&lpg=PA2006&dq=Rubrobacter+xylanophilus+cell+volume&source=bl&ots=_8IUoOsVAb&sig=ISGSN_kQXz9eLGaLTAua_OkTDaI&hl=en&sa=X&ved=0ahUKEwij1MrJ1YrbAhUJXMAKHdoNCm84ChDoAQgvMAE#v=onepage&q=Rubrobacter%20xylanophilus%20cell%20volume&f=false","pg. 2008 of Bergey’s Manual of Systematic Bacteriology Volume 5: The Actinobacteria","Hira",323.3669,35.8754346046115,-10.3687026650501,-40.9641055246485,35.8754346046115,0.133908688886324,0.0038308435426423
"4","Actinobacteria",0.0128042529465784,-8.86046583929134,-0.0661575984184842,-0.133908688886324,"Mesophile","Mycobacterium tuberculosis","Mycobacterium","Mycobacteriaceae","Corynebacteriales","Actinobacteria","Bacteria",3.38e-06,"s^-1",36.898,"Celsius",3.74e-19,"m^3","engqvist, genbank, gold, jemma-refseq, kegg, mediadb, pasteur, patric, protraits, rrndb, silva, bergeys","555, 4392, 7950, 9140, 9151, 9461, 9472, 9705, 9715, 9903, 10055, 10207, 10313, 10322, 10420, 10494, 10501, 10572, 10580, 10649, 10657, 10720, 10727, 10783, 10790, 10842, 10894, 10938, 10945, 10989, 10996, 11071, 7489, 11181, 11187, 11217, 11224, 11250, 11256, 11343, 11359, 11365, 11380, 11436, 11446, 11451, 11471, 11732, 11779, 11780, 11786, 11789, 11793, 12297, 12298, 12299, 12300, 12301, 12302, 12331, 13345, 14072, 14107, 14579, 14584, 14979, 15593, 15674, 15885, 15886, 15887, 15888, 16034, 16035, 16070, 16388, 16478, 16479, 16514, 16515, 16516, 16536, 16604, 16688, 16920, 16921, 16922, 18560, 18707, 18718, 18723, 18894","Madin",310.048,37.4165550954882,-12.5976348484693,-42.4300311554604,37.4165550954882,0.133908688886324,0.000506881650296838
"5","Actinobacteria",0.0128042529465784,-8.86046583929134,-0.0661575984184842,-0.133908688886324,"Mesophile","Microlunatus phosphovorus","Microlunatus","Propionibacteriaceae","Propionibacteriales","Actinobacteria","Bacteria",6.91e-06,"s^-1",37,"Celsius",2.87e-18,"m^3","engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, protraits, rrndb, bergeys","555, 5458, 12331, 13312, 15447, 18701, 18718, 18723","Madin",310.15,37.4042497960533,-11.8825409201847,-40.3922196441213,37.4042497960533,0.133908688886324,0.00103455192240282
"6","Actinobacteria",0.0128042529465784,-8.86046583929134,-0.0661575984184842,-0.133908688886324,"Mesophile","Demequina aestuarii","Demequina","Demequinaceae","Micrococcales","Actinobacteria","Bacteria",1.73e-05,"s^-1",28,"Celsius",5.65e-20,"m^3","engqvist, gold, patric, bergeys","555, 12331, 18707","Madin",301.15,38.5220922272819,-10.9648040564605,-44.3200463147226,38.5220922272819,0.133908688886324,0.00300835700986458
"7","Actinobacteria",0.0128042529465784,-8.86046583929134,-0.0661575984184842,-0.133908688886324,"Mesophile","Corynebacterium pseudodiphtheriticum","Corynebacterium","Corynebacteriaceae","Corynebacteriales","Actinobacteria","Bacteria",0.000102941,"s^-1",37,"Celsius",1.4e-19,"m^3","bacdive-microa, engqvist, gold, masonmm, microbe-directory, pasteur, patric, protraits, bergeys","1, 555, 12331, 18541, 18701, 18707, 18718","Madin",310.15,37.4042497960533,-9.18135454939011,-43.4126445302657,37.4042497960533,0.133908688886324,0.0154121287183891
"8","Actinobacteria",0.0128042529465784,-8.86046583929134,-0.0661575984184842,-0.133908688886324,"Mesophile","Corynebacterium glutamicum","Corynebacterium","Corynebacteriaceae","Corynebacteriales","Actinobacteria","Bacteria",6.22e-05,"s^-1",32.818,"Celsius",9.74e-19,"m^3","engqvist, genbank, gold, jemma-refseq, kegg, mediadb, microbe-directory, pasteur, patric, protraits, rrndb, silva, bergeys","555, 4449, 7887, 7998, 8646, 8747, 9096, 9192, 9422, 9671, 9750, 5584, 9939, 10025, 10094, 10169, 10230, 10288, 10344, 10391, 10439, 10474, 10521, 12331, 12779, 14153, 14286, 14540, 16370, 16547, 16548, 16644, 17117, 17394, 18560, 18701, 18707, 18718, 18751, 18723, 18845","Madin",305.968,37.9154946734493,-9.68515555821914,-41.4728756492324,37.9154946734493,0.133908688886324,0.00997232644175144
"9","Actinobacteria",0.0128042529465784,-8.86046583929134,-0.0661575984184842,-0.133908688886324,"Mesophile","Corynebacterium diphtheriae","Corynebacterium","Corynebacteriaceae","Corynebacteriales","Actinobacteria","Bacteria",0.000104517,"s^-1",37,"Celsius",1.03e-18,"m^3","bacdive-microa, engqvist, genbank, gold, jemma-refseq, kegg, masonmm, microbe-directory, pasteur, patric, protraits, rrndb, bergeys","1, 555, 4607, 7766, 8091, 8568, 8806, 9043, 9242, 9378, 9544, 9637, 9780, 9846, 9959, 10006, 10113, 4576, 10243, 10274, 12331, 12774, 14201, 15590, 15591, 15596, 15597, 15598, 15599, 15600, 15601, 15602, 15603, 15604, 15605, 17973, 18540, 18701, 18707, 18718, 18723","Madin",310.15,37.4042497960533,-9.16616082036443,-41.4169728716513,37.4042497960533,0.133908688886324,0.0156480844100977
"10","Actinobacteria",0.0128042529465784,-8.86046583929134,-0.0661575984184842,-0.133908688886324,"Mesophile","Nakamurella multipartita","Nakamurella","Nakamurellaceae","Nakamurellales","Actinobacteria","Bacteria",1.04e-05,"s^-1",25,"Celsius",7.18e-18,"m^3","engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, patric, protraits, rrndb, bergeys","555, 5417, 12331, 13384, 15030, 18701, 18707, 18718, 18723","Madin",298.15,38.9097034185676,-11.4737047518169,-39.4752322908327,38.9097034185676,0.133908688886324,0.00190483977399314
